idProducto;nombre;categoria;precioNormal;cantidadStock;fechaCaducidad
d2b7a9f3;Termómetro clínico;SALUD;6,75;25;2025-07-07
e4f9c8a1;Cuaderno profesional;EDUCACION;4,25;45;2025-07-12
f6d1b2e8;Cereal integral 500g;ALIMENTACION;2,50;50;2025-07-15
a8c5e7d4;Alquiler local comercial;VIVIENDA;450,00;1;2025-07-23
b1e3f9a6;Abrigo impermeable;VESTIMENTA;33,00;18;2025-07-22
c4a7d8b9;Antiséptico en spray;SALUD;3,00;60;2025-07-08
d7f5b1c3;Rotuladores para pizarras;EDUCACION;2,00;55;2025-07-11
e9c2a6f7;Arroz blanco 1kg;ALIMENTACION;1,80;42;2025-07-14
f5d9e3a4;Mesa auxiliar;VIVIENDA;30,00;7;2025-07-20
a3b6c7d8;Camiseta deportiva;VESTIMENTA;15,50;23;2025-07-19
b7e9f4a5;Tiritas adhesivas;SALUD;1,20;90;2025-07-07
c2d8a1e6;Libro de historia;EDUCACION;6,00;40;2025-07-12
d5f7b3c9;Queso cheddar 250g;ALIMENTACION;3,10;37;2025-07-15
e1a9c5f4;Cojín lumbar;VIVIENDA;13,00;16;2025-07-18
f8c4e2b3;Pantalón de vestir;VESTIMENTA;20,00;19;2025-07-21
a6d7f1e9;Termómetro digital;SALUD;8,00;22;2025-07-06
b3e5a8c1;Plumones de colores;EDUCACION;2,50;65;2025-07-11
c9f1d2a7;Aceite de coco 500ml;ALIMENTACION;4,75;35;2025-07-16
d8a5c9f2;Sillón reclinable;VIVIENDA;280,00;3;2025-07-23
e7b3f4d1;Suéter lana;VESTIMENTA;27,00;17;2025-07-20
f6d9e8a4;Pastillas para dolor;SALUD;5,50;50;2025-07-08
a1c2b3d4;Lapiceros gel;EDUCACION;1,00;70;2025-07-11
b9e4f7c5;Cereal de maíz 500g;ALIMENTACION;2,20;48;2025-07-13
c3f6a8b7;Estantería modular;VIVIENDA;55,00;6;2025-07-21
d4b7c1a9;Chaqueta polar;VESTIMENTA;30,50;14;2025-07-19
e8f3d2b6;Crema para manos;SALUD;3,30;40;2025-07-09
f2a5c8e7;Papel bond 500 hojas;EDUCACION;4,80;60;2025-07-10
a7d1e3f8;Pan integral 500g;ALIMENTACION;1,25;55;2025-07-12
b6c9f4a2;Mesa de centro;VIVIENDA;45,00;5;2025-07-22
c1e7a5b3;Camisa formal;VESTIMENTA;19,80;21;2025-07-18
d3f8b9e4;Termómetro de oído;SALUD;22,00;12;2025-07-07
e5a1c6d7;Agenda escolar;EDUCACION;3,75;50;2025-07-11
f9b2d7a5;Yogur natural 1L;ALIMENTACION;2,00;45;2025-07-14
a4c3e8f9;Lámpara de mesa;VIVIENDA;38,00;7;2025-07-20
b5f6d1a3;Pantalones vaqueros;VESTIMENTA;21,50;18;2025-07-21
c7a8e9b4;Gel antibacterial;SALUD;3,75;51;2025-07-08
d9c1f2e6;Marcadores de pizarra;EDUCACION;2,10;65;2025-07-11
e2f7b4a9;Azúcar moreno 1kg;ALIMENTACION;1,10;50;2025-07-13
f8a9c5d7;Sillón oficina;VIVIENDA;120,00;4;2025-07-23
a3b4d6e1;Chamarra de cuero;VESTIMENTA;39,00;13;2025-07-20
b1c7e8f5;Vendas para heridas;SALUD;1,35;80;2025-07-09
c4d2a3f6;Cuaderno cuadriculado;EDUCACION;2,90;73;2025-07-12
d7e9b5c1;Cereal de avena 500g;ALIMENTACION;2,50;42;2025-07-14
e1f3a7d9;Mesa de comedor;VIVIENDA;250,00;3;2025-07-22
f5b8c6a4;Camiseta deportiva;VESTIMENTA;16,50;19;2025-07-18
a9d4e7f3;Termómetro digital;SALUD;9,00;25;2025-07-07
b2c3f1e8;Plumones permanentes;EDUCACION;3,20;55;2025-07-10
c6e5a9d7;Aceite vegetal 1L;ALIMENTACION;2,00;48;2025-07-15
d3f8b6c4;Espejo decorativo;VIVIENDA;29,00;6;2025-07-23
e7a1c4b5;Sudadera con capucha;VESTIMENTA;23,00;19;2025-07-20
f4d9e2a7;Botiquín básico;SALUD;14,00;18;2025-07-08
a6b3c8f2;Marcadores escolares;EDUCACION;1,80;60;2025-07-11
b8e5f9d1;Leche deslactosada 1L;ALIMENTACION;1,60;49;2025-07-13
c1d7a3e4;Sofá 2 plazas;VIVIENDA;300,00;3;2025-07-22
d5f9b2c7;Pantalón casual;VESTIMENTA;18,00;22;2025-07-18
e9a6c1d3;Tiras adhesivas;SALUD;1,10;90;2025-07-07
f3c8e5b4;Libro de ciencias;EDUCACION;7,50;40;2025-07-10
a7d4f3e2;Café instantáneo 250g;ALIMENTACION;3,00;38;2025-07-14
b9f1a7c5;Estante para cocina;VIVIENDA;50,00;6;2025-07-21
c5e8d9b6;Camisa informal;VESTIMENTA;14,50;25;2025-07-19
d2b3a7f8;Termómetro clínico;SALUD;7,00;20;2025-07-07
e4f6c2a1;Cuaderno profesional;EDUCACION;4,50;45;2025-07-12
f6d7b8e9;Cereal con frutos secos;ALIMENTACION;2,80;48;2025-07-15
b1e3f7a9;Abrigo invierno;VESTIMENTA;35,00;16;2025-07-20
c4a7d8f2;Antiséptico líquido;SALUD;3,50;50;2025-07-08
d7f5b2c3;Rotuladores fluorescentes;EDUCACION;2,20;59;2025-07-11
e9c2a7f4;Arroz integral 1kg;ALIMENTACION;2,10;43;2025-07-14
f5d8e4a6;Mesa auxiliar;VIVIENDA;32,00;1;2025-07-20
a3b6c9d7;Camiseta deportiva;VESTIMENTA;17,00;21;2025-07-19
b7e9f2a5;Tiritas adhesivas;SALUD;1,25;85;2025-07-07
c2d7a3e9;Libro de historia;EDUCACION;6,50;38;2025-07-12
d5f6b9c1;Queso cheddar 300g;ALIMENTACION;3,30;30;2025-07-15
e1a8c7f3;Cojín decorativo;VIVIENDA;14,00;18;2025-07-18
f8c5e2b9;Pantalón de vestir;VESTIMENTA;21,00;17;2025-07-21
a6d8f3e7;Termómetro digital;SALUD;8,50;22;2025-07-06
b3e6a9c5;Plumones de colores;EDUCACION;2,70;60;2025-07-11
189e8860;Detergente Deja;VIVIENDA;1,25;45;2025-06-18
